id;vorname;nachname;is_kind;kennzahl
1;mobile Fish;Home Loan Account Table Computer;false;45924
2;seamless Metal deposit;Producer;true;93855
3;Electronics;Soap methodology Albania;false;2306
4;Namibia;Steel zero administration;false;23277
5;Licensed Savings Account;Cambridgeshire Mississippi;false;85994
6;Yuan Renminbi Centers;Factors;true;56328
7;envisioneer Music Public-key;infomediaries;false;60999
8;backing up Salad;Digitized invoice;false;42515
9;sky blue Georgia;Facilitator;true;44975
10;e-enable Communications capacitor;Awesome;false;52083
